id,humansgenderdesc,humansage,humansaffected,humansdeaths
227405,32,1,,
227390,,,,
227389,,,,
227831,,,,
227830,,,,
227829,,,,
227804,,,,
227689,,,,
227665,0,,,
227642,,,,
227641,,,,
227638,57,1,,
227629,,1,,
227620,,1,,
227391,,,,
227388,,,,
227385,,,,
227263,,,,
227262,,,,
228310,,,,
227917,35,1,,
227828,,,,
227645,0,,,
227635,,1,,
227628,,1,,
227619,,1,,
227387,,,,
227384,,,,
227250,,,,
227117,,,,
226769,26,1,,
230313,,,,
228014,0,,,
228013,0,,,
227887,,1,1,
227883,,1,,
227659,,,,
227631,,1,,
227621,,1,,
227618,,1,1,
227604,0,,,
227144,,1,,
227129,68,1,,
227126,65,1,,
227118,,,,
230312,,,,
228551,,,,
227941,,,,
227806,,,,
227805,,,,
227663,,,,
227652,,,,
227632,,1,,
227626,,1,,
227617,,1,,
227615,,1,,
227404,46,1,1,
227386,,,,
227383,,,,
227149,74,1,,
226696,0,,,
228309,,,,
227624,,1,1,
227382,,,,
227140,,1,,
229168,,,,
227112,,,,
226866,,,,
227827,,,,
227826,,,,
227585,,,,
227584,,,,
227249,,,,
227248,,,,
227247,,,,
227246,,,,
227245,,,,
227146,68,1,1,
227136,,1,,
227116,,,,
227115,,,,
227114,,,,
227113,,,,
229167,,,,
228308,,,,
227825,,,,
227824,,,,
227705,,,,
227643,,,,
227627,,1,,
227625,,1,1,
227244,,,,
227145,64,1,1,
227128,61,1,,
227127,81,1,1,
226912,,1,,
226738,,,,
226666,,,,
228445,,,,
227938,,,,
227622,,1,1,
226863,,,,
226737,,,,
230311,,,,
229470,,,,
228592,,,,
228307,,,,
228306,,,,
228304,,,,
227586,,,,
227401,,,,
227147,62,1,1,
227143,58,1,1,
227138,,1,,
226908,66,1,,
226870,,,,
226736,,,,
226665,,,,
226664,,,,
226663,,,,
230310,,,,
227623,,1,,
227400,,,,
227261,,,,
227109,,,,
226998,,,,
226996,,,,
226982,,,,
226869,,,,
226868,,,,
226735,,,,
227616,,1,1,
227111,,,,
227002,,,,
226865,,,,
226754,0,,,
226638,86,1,,
227882,0,1,,
227141,,1,,
227135,,1,,
227005,,,,
227004,,,,
227003,,,,
226985,,,,
226984,,,,
226910,71,1,,
226907,,1,,
226893,,1,,
226892,,1,,
226883,,1,,
226674,,,,
226563,,,,
228303,,,,
227823,,,,
227614,,1,,
227192,,,,
227139,,1,,
226909,74,1,,
226905,,1,,
226901,,1,,
226882,,1,,
226732,,,,
226345,59,1,,
226341,,1,,
226340,,1,,
226339,,1,,
226338,,1,,
226337,,1,,
226336,,1,,
226335,,1,,
226334,,1,1,
226329,58,1,,
228302,,,,
227704,,,,
227137,,1,,
227101,,,,
227095,,,,
227001,,,,
227000,,,,
226999,,,,
226906,,1,,
226887,,1,,
226881,,1,1,
226867,,,,
226734,,,,
226733,,,,
226730,,,,
226662,,,,
226661,,,,
226660,,,,
226659,,,,
226658,,,,
226344,,,,
228301,,,,
228300,,,,
227403,,,,
226890,,1,,
226731,,,,
226729,,,,
226673,,,,
226672,,,,
226671,,,,
226562,,,,
226561,,,,
226559,,,,
226558,,,,
226320,,,,
226319,,,,
226303,,,,
228305,,,,
228299,,,,
227956,,,,
227885,,1,,
227658,,,,
227243,,,,
227133,,1,,
227110,,,,
227108,25,1,,
226911,,1,,
226903,,1,,
226728,,,,
226727,,,,
226726,,,,
226725,,,,
226695,43,1,,
226557,,,,
226556,,,,
226359,55,1,1,
226333,,1,1,
226269,,,,
230364,,,,
229469,,,,
228591,,,,
228547,,,,
227100,,,,
226904,,1,,
226898,,1,1,
226880,,1,,
226724,,,,
226722,,,,
226560,,,,
226555,,,,
226332,,1,,
226270,86,1,1,
227644,35,1,,
226899,,1,,
226897,,1,1,
226723,,,,
227134,,1,,
227131,,1,1,
227119,,,,
226894,,1,,
226888,,1,,
226886,,1,,
226884,,1,1,
226879,,1,,
226302,,,,
226271,61,1,,
226268,,,,
226264,,,,
226123,0,1,,
229468,,,,
228546,,,,
228298,,,,
228297,,,,
228296,,,,
227242,,,,
227241,,,,
227142,,1,1,
227099,,,,
226981,,,,
226896,,1,,
226891,,1,,
226885,,1,1,
226878,,1,,
226719,,,,
226554,,,,
226553,,,,
226313,,,,
226258,,,,
226254,0,,,
228590,,,,
228295,,,,
227822,,,,
227240,,,,
227132,,1,1,
227098,,,,
227097,,,,
227096,,,,
226753,,,,
226752,,,,
226751,,,,
226750,,,,
226747,,,,
226746,,,,
226745,,,,
226718,,,,
226717,,,,
226716,,,,
226715,,,,
226714,,,,
226713,,,,
226712,,,,
226675,,,,
226552,,,,
226551,,,,
226550,,,,
226549,,,,
226548,,,,
226547,,,,
226546,,,,
226545,,,,
226544,,,,
226312,,,,
226246,,,,
230363,,,,
228589,,,,
228588,,,,
228294,,,,
228293,,,,
228292,,,,
227821,,,,
227402,,,,
227239,,,,
226900,,1,1,
226895,,1,,
226749,,,,
226711,,,,
226543,,,,
226542,,,,
226541,,,,
226540,,,,
226539,,,,
226538,,,,
226537,,,,
226536,,,,
226311,,,,
226310,,,,
226309,,,,
226263,,,,
226253,,,,
226245,,,,
226176,,,,
228291,,,,
228290,,,,
227769,,,,
227264,0,,,
227238,,,,
227084,,,,
226721,,,,
226720,,,,
226710,,,,
226262,,,,
226201,,1,,
226173,,,,
226172,,,,
226171,,,,
228289,,,,
227803,,,,
227654,,,,
227237,,,,
226748,,,,
226709,,,,
226708,,,,
226707,,,,
226670,,,,
226669,,,,
226668,,,,
226535,,,,
226328,0,1,,
226315,,,,
226314,,,,
226308,,,,
226307,,,,
226265,72,1,,
226251,,,,
226249,,,,
226175,,,,
226170,,,,
226160,,,,
228288,,,,
228287,,,,
227768,,,,
227587,,,,
227083,,,,
226252,,,,
226174,,,,
226159,,,,
226109,0,,,
226108,0,,,
225922,,,,
225921,,,,
225904,31,1,,
230362,,,,
229371,0,4,2,
228286,,,,
228285,,,,
226331,,1,,
226306,,,,
226266,60,1,1,
226247,,,,
226244,,,,
226204,,1,,
226199,,1,,
226198,,1,,
226121,82,1,,
225913,0,,,
225874,0,,,
230361,,,,
229467,,,,
228284,,,,
227236,,,,
227235,,,,
227234,,,,
227233,,,,
227232,,,,
226902,,1,1,
226877,,1,,
226343,,,,
226342,,,,
226305,,,,
226243,,,,
226242,,,,
226169,,,,
225949,,,,
225912,,,,
225899,,1,,
225873,,,,
225867,,,,
225866,,,,
225865,,,,
225864,,,,
225863,,,,
225862,,,,
225861,,,,
225860,,,,
225772,0,,,
230360,,,,
230320,,,,
228341,,,,
227231,,,,
226995,,,,
226706,,,,
226705,,,,
226534,,,,
226360,0,,,
226301,,,,
226300,,,,
226158,,,,
226059,,,,
230359,,,,
227767,,,,
227230,,,,
227229,,,,
227228,,,,
227082,,,,
226591,,,,
226299,,,,
226261,,,,
226248,,,,
226241,,,,
226168,,,,
226167,,,,
226157,,,,
226036,0,,,
225957,,,,
225871,,,,
225841,,,,
225840,,,,
225773,93,1,,
230358,,,,
230357,,,,
228283,,,,
228282,,,,
227766,,,,
227765,,,,
227094,,,,
227093,,,,
227081,,,,
227080,,,,
226166,,,,
226165,,,,
226120,41,1,,
226057,,,,
225948,,,,
225911,0,,,
225910,0,,,
225870,,,,
225839,,,,
225838,,,,
225837,,,,
225836,,,,
225835,,,,
225834,,,,
225774,63,1,,
230356,,,,
230355,,,,
228340,,,,
228281,,,,
227820,,,,
227812,,,,
227260,,,,
227227,,,,
226590,,,,
226327,0,1,,
226240,,,,
226239,,,,
226238,,,,
226202,,1,,
226196,,1,,
226058,,,,
226056,,,,
225962,,,,
225947,,,,
225946,,,,
225905,58,1,,
225869,,,,
225833,,,,
227764,,,,
227079,,,,
226060,62,1,,
225956,,,,
225955,,,,
225954,,,,
226237,,,,
226203,,1,1,
226200,,1,,
230354,,,,
230353,,,,
228339,,,,
228053,,,,
227811,,,,
227810,,,,
227763,,,,
227085,,,,
227078,,,,
226288,31,1,1,
226236,,,,
226164,,,,
226163,,,,
226162,,,,
225961,,,,
225960,,,,
225959,,,,
225953,,,,
225945,,,,
225944,,,,
225935,,1,,
225932,,1,,
225769,,,,
225768,,,,
225717,0,,,
228444,,,,
228338,,,,
228280,,,,
228279,,,,
227819,,,,
227818,,,,
227762,,,,
227729,,,,
227259,,,,
227226,,,,
227077,,,,
226741,,,,
226667,,,,
226628,,,,
226235,,,,
226055,,,,
226054,,,,
226053,,,,
226052,,,,
225958,,,,
225943,,,,
225942,,,,
225920,,,,
225914,,,,
225832,,,,
225831,,,,
225830,,,,
225829,,,,
225828,,,,
225827,,,,
225826,,,,
225825,,,,
225824,,,,
225755,,,,
225692,,,,
225691,,,,
225690,,,,
225674,,,,
225535,54,1,,
225533,0,,,
225334,0,,,
225333,0,,,
225332,0,,,
228443,,,,
228442,,,,
228441,,,,
228278,,,,
227761,,,,
227760,,,,
227759,,,,
227758,,,,
227130,40,1,,
227076,,,,
227075,,,,
227074,,,,
227073,,,,
226889,,1,1,
226609,,,,
226533,,,,
226321,,,,
226318,,,,
226197,,1,,
226051,,,,
226050,,,,
226049,,,,
226048,,,,
225952,,,,
225951,,,,
225950,,,,
225919,,,,
225846,,,,
225823,,,,
225822,,,,
225714,,,,
225713,,,,
225712,,,,
225711,,,,
225710,,,,
225709,,,,
225673,,,,
228385,,,,
228277,,,,
227225,,,,
227224,,,,
227223,,,,
226740,,,,
226739,,,,
226657,31,1,,
226656,58,1,,
226655,50,1,,
226592,,,,
226047,,,,
226046,,,,
226045,,,,
226044,,,,
226043,,,,
225941,,,,
225933,,1,,
225909,0,,,
225908,,,,
225900,68,1,,
225821,,,,
225766,,,,
225765,,,,
225763,,,,
225762,,,,
225748,,,,
225716,,,,
225708,,,,
225707,,,,
225706,,,,
225689,,,,
225688,,,,
225687,,,,
225672,,,,
225660,,,,
225659,,,,
225403,0,,,
225330,0,,,
225329,0,,,
227222,,,,
227221,,,,
227220,,,,
227219,,,,
227218,,,,
227092,,,,
227091,,,,
226744,,,,
226743,,,,
226599,,,,
226042,,,,
226041,,,,
226040,,,,
225940,,,,
225902,,1,,
225895,37,1,1,
225820,,,,
225753,,,,
225747,,,,
225746,,,,
225745,,,,
225744,,,,
225743,,,,
225742,,,,
225741,,,,
225740,,,,
225739,,,,
225738,,,,
225737,,,,
225705,,,,
225704,,,,
225703,,,,
225702,,,,
225671,,,,
225670,,,,
225337,0,,,
227757,,,,
227072,,,,
225903,,1,,
225872,,,,
225764,,,,
225761,,,,
225655,,,,
225424,0,,,
225938,,1,,
225937,,1,1,
225934,,1,,
225930,,1,,
225894,57,1,,
225736,,,,
225715,,,,
225701,,,,
225700,,,,
225699,,,,
225698,,,,
225554,,,,
225534,0,,,
230352,,,,
230351,,,,
228276,,,,
228275,,,,
227756,,,,
227217,,,,
227090,,,,
227089,,,,
227088,,,,
227071,,,,
226994,,,,
226317,,,,
226260,,,,
225845,,,,
225844,,,,
225760,,,,
225735,,,,
225734,,,,
225733,,,,
225686,,,,
225685,,,,
225669,,,,
225668,,,,
225667,,,,
225661,,,,
225598,,,,
225597,,,,
225596,,,,
225595,,,,
225254,,1,1,
225253,0,1,,
225252,,1,,
230350,,,,
230349,,,,
229465,,,,
227216,,,,
225931,,1,,
225897,53,1,,
225697,,,,
225696,,,,
225695,,,,
225694,,,,
225693,,,,
225684,,,,
225683,,,,
225682,,,,
225681,,,,
225680,,,,
225651,,,,
225594,,,,
225593,,,,
225592,,,,
225591,,,,
225590,,,,
225589,,,,
225588,,,,
225587,,,,
225586,,,,
225585,,,,
225584,,,,
225583,,,,
225549,,,,
225331,0,,,
225298,,,,
225297,,,,
225296,,,,
225295,,,,
225294,,,,
225293,,,,
225292,,,,
229464,,,,
227755,,,,
227754,,,,
227753,,,,
227258,,,,
227215,,,,
227214,,,,
227213,,,,
227212,,,,
227211,,,,
227070,,,,
